"artist_uri","artist_name","artist_id","artist_url"
"spotify:artist:6MPCFvOQv5cIGfw3jODMF0","Internet Money","6MPCFvOQv5cIGfw3jODMF0","https://api.spotify.com/v1/artists/6MPCFvOQv5cIGfw3jODMF0"
"spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","https://api.spotify.com/v1/artists/22bE4uQ6baNwSHPVcDxLCe"
"spotify:artist:2FIGTfXnX4gR3ypjQVPVlJ","Lonr.","2FIGTfXnX4gR3ypjQVPVlJ","https://api.spotify.com/v1/artists/2FIGTfXnX4gR3ypjQVPVlJ"
"spotify:artist:4dcnHUWXWZAHfA8FvQBtJS","SixForty1","4dcnHUWXWZAHfA8FvQBtJS","https://api.spotify.com/v1/artists/4dcnHUWXWZAHfA8FvQBtJS"
"spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ","Latto","3MdXrJWsbVzdn6fe5JYkSQ","https://api.spotify.com/v1/artists/3MdXrJWsbVzdn6fe5JYkSQ"
"spotify:artist:1eClJfHLoDI4rZe5HxzBFv","INXS","1eClJfHLoDI4rZe5HxzBFv","https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv"
"spotify:artist:6roFdX1y5BYSbp60OTJWMd","Tim McGraw","6roFdX1y5BYSbp60OTJWMd","https://api.spotify.com/v1/artists/6roFdX1y5BYSbp60OTJWMd"
"spotify:artist:7hf5PZjVOqTQ2id3PF7I5Y","B-Lovee","7hf5PZjVOqTQ2id3PF7I5Y","https://api.spotify.com/v1/artists/7hf5PZjVOqTQ2id3PF7I5Y"
"spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","Kehlani","0cGUm45nv7Z6M6qdXYQGTX","https://api.spotify.com/v1/artists/0cGUm45nv7Z6M6qdXYQGTX"
"spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator","4V8LLVI7PbaPR0K2TGSxFF","https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF"
"spotify:artist:5sw4vau0N1fwalr2ACVN9M","2FeetBino","5sw4vau0N1fwalr2ACVN9M","https://api.spotify.com/v1/artists/5sw4vau0N1fwalr2ACVN9M"
"spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","5NGO30tJxFlKixkPSgXcFE","https://api.spotify.com/v1/artists/5NGO30tJxFlKixkPSgXcFE"
"spotify:artist:1ryJB2bhfYjjIt8kqy4BoG","Seaforth","1ryJB2bhfYjjIt8kqy4BoG","https://api.spotify.com/v1/artists/1ryJB2bhfYjjIt8kqy4BoG"
"spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","5a2EaR3hamoenG9rDuVn8j","https://api.spotify.com/v1/artists/5a2EaR3hamoenG9rDuVn8j"
"spotify:artist:6yJCxee7QumYr820xdIsjo","Zac Brown Band","6yJCxee7QumYr820xdIsjo","https://api.spotify.com/v1/artists/6yJCxee7QumYr820xdIsjo"
"spotify:artist:1E2AEtxaFaJtH0lO7kgNKw","Russell Dickerson","1E2AEtxaFaJtH0lO7kgNKw","https://api.spotify.com/v1/artists/1E2AEtxaFaJtH0lO7kgNKw"
